TREEID,OBJECTID,ONSTREET,PARITY,CROSSSTREE,CROSSSTR_1,Location plain text,y,x,TREELOCATI,SITE,TREEPIT,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,FID_1,COMMDIST
23021,4751,MARION STREET,even,MALCOLM X BOULEVARD,PATCHEN AVENUE,"88 MARION STREET, Brooklyn, NY",-73.9594446525, 40.6960703,5,5,1,2,9,PYCA,Brooklyn,11233,30,303
23020,4754,MARION STREET,even,MALCOLM X BOULEVARD,PATCHEN AVENUE,"82 MARION STREET, Brooklyn, NY",-73.927447194, 40.6797474,1,5,1,2,9,PYCA,Brooklyn,11233,30,303
23022,4755,MARION STREET,even,MALCOLM X BOULEVARD,PATCHEN AVENUE,"90 MARION STREET, Brooklyn, NY",-73.927340834, 40.6797423,1,1,1,2,34,ACSA1,Brooklyn,11233,30,303
23024,4756,MALCOLM X BOULEVARD,even,BAINBRIDGE STREET,CHAUNCEY STREET,"319 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9276988513, 40.679689,1,1,1,2,4,ZESE,Brooklyn,11233,30,303
23026,4757,MALCOLM X BOULEVARD,even,DECATUR STREET,BAINBRIDGE STREET,"303 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9283847592, 40.6809093,1,1,1,3,5,PYCA,Brooklyn,11233,30,303
23023,4760,MALCOLM X BOULEVARD,even,BAINBRIDGE STREET,CHAUNCEY STREET,"317 MALCOLM X BOULEVARD, Brooklyn, NY",-73.92858865, 40.68171,1,1,1,2,8,FRPE,Brooklyn,11233,30,303
23025,4761,MALCOLM X BOULEVARD,even,BAINBRIDGE STREET,CHAUNCEY STREET,"323 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9284007894, 40.6809896,1,1,1,2,3,ZESE,Brooklyn,11233,30,303
23029,4763,MALCOLM X BOULEVARD,even,DECATUR STREET,BAINBRIDGE STREET,"307 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9283526396, 40.68072975,1,1,1,3,7,PYCA,Brooklyn,11233,30,303
23031,4764,MALCOLM X BOULEVARD,odd,CHAUNCEY STREET,MARION STREET,"120 CHAUNCEY STREET, Brooklyn, NY",-73.9286408, 40.6815255,1,7,1,2,10,TIAM,Brooklyn,11233,30,303
23033,4765,MALCOLM X BOULEVARD,odd,CHAUNCEY STREET,MARION STREET,"120 CHAUNCEY STREET, Brooklyn, NY",-73.9296055789, 40.6803040263158,2,7,1,2,11,TIAM,Brooklyn,11233,30,303
23037,4770,MALCOLM X BOULEVARD,odd,CHAUNCEY STREET,MARION STREET,"120 CHAUNCEY STREET, Brooklyn, NY",-73.9296055789, 40.6803040263158,3,7,1,2,4,QUPA,Brooklyn,11233,30,303
